id,en,fr,de,pt-BR,zh-CN
help_theoretical2_subtext,"Когда разделённого кота наблюдают, его близнец становится Теоретическим.<BR>Быть теоретическим — значит, кот фактически не существует.<BR>Это позволяет ему проходить сквозь двери и объекты, которые могли бы отойти.<BR>Теоретические коты не могут взаимодействовать с миром.<BR>То есть нельзя поднимать предметы или нажимать кнопки, пока наблюдаемого кота не перестанут наблюдать.",Lorsqu'un chat divisé est observé, son jumeau devient théorique. <BR>Être théorique signifie que le chat n'existe plus. <BR>Cela permet au chat de franchir les portes et les objets qui auraient pu être déplacés. <BR>Les chats théoriques ne peuvent pas interagir avec le monde. <BR>Cela signifie que tu ne peux pas ramasser d'objets ou appuyer sur des boutons tant que le chat observé n'a pas cessé d'être observé.,Wenn eine geteilte Katze beobachtet wird, wird ihr Zwilling theoretisch.<BR>Theoretisch zu sein bedeutet, dass die Katze nicht mehr existiert.<BR>Dadurch kann die Katze durch Türen und Dinge gehen, die sich hätten entfernen können.<BR>Theoretische Katzen können nicht mit der Welt interagieren.<BR>Das bedeutet, du kannst keine Gegenstände aufheben oder Knöpfe drücken, bis die beobachtete Katze nicht mehr beobachtet wird.,Quando uma gata dividida é observada, sua cópia se torna Teórica.<BR>Ser teórica significa que a gata deixa de existir.<BR>Isso permite que ela atravesse portas e objetos que poderiam ter sido movidos.<BR>Gatas teóricas não podem interagir com o mundo.<BR>Isso quer dizer que você não pode pegar itens ou apertar botões até que a gata observada deixe de ser observada.,当一只分离的猫被观察时，它的分身就会变为理论态。<BR>处于理论态意味着这只猫在当前状态下不再实际存在。<BR>因此，它可以穿过门等原本可以被移动或让开的物体。<BR>理论态的猫无法与世界发生互动。<BR>这表示在停止观察被观察的猫之前，你无法拾取物品或按下按钮。
help_timingGameplay,Геймплей на реакцию можно сделать снисходительнее в настройках доступности,Si nécessaire, il est possible d’assouplir les contraintes de timing dans le menu des paramètres d'accessibilité,Das zeitgesteuerte Gameplay kann bei Bedarf in den Barrierefreiheits-Einstellungen großzügiger gestaltet werden,A jogabilidade baseada em tempo pode ser tornada mais permissiva nas Configurações de Acessibilidade, se necessário,如果需要，可在辅助设置中放宽基于时机的玩法判定
help_tripswitch_title,Автоматические выключатели,Interrupteurs à déclenchement,Auslöseschalter,Plataformas de ativação,触发开关
help_tubes_main,Можно прокатиться по<BR>чудесным транспортным трубам объекта.<BR><BR>Просто запрыгни внутрь!,Tu peux emprunter les <BR>nombreux merveilleux tubes de transit du bâtiment. <BR><BR>Il suffit de sauter dedans !,Du kannst in<BR>all den tollen Transit-Röhren des Instituts mitfahren.<BR><BR>Spring einfach rein!,Você pode se locomover pelos variados e incríveis tubos de trânsito da instalação.<BR><BR>Basta pular dentro deles!,你可以乘坐设施内<BR>各种奇妙的传输管道。<BR><BR>直接跳进去即可！
help_tubes_title,Транспортные трубы,Tubes de Transit,Transit-Röhren,Tubos de Trânsito,传输管道
help_wigglePanel_subtext,"Кое-что в мире можно укусить и потянуть.<BR>Используй $Action1 / $Action2, чтобы укусить или отпустить.<BR>Используй $Movement1 / $Movement2, чтобы тянуть.",Certaines choses dans le monde peuvent être mordues et tirées. <BR>Utilise $Action1 / $Action2 pour mordre, ou arrêter de mordre. <BR>Utilise $Movement1 / $Movement2 pour tirer.,Manche Dinge in dieser Welt können gebissen und gezogen werden.<BR>Benutze $Action1 / $Action2, um zu beißen oder mit dem Beißen aufzuhören.<BR>Benutze $Movement1 / $Movement2 zum Ziehen.,Algumas coisas no mundo podem ser mordidas e puxadas.<BR>Use $Action1 / $Action2 para morder ou parar de morder.<BR>Use $Movement1 / $Movement2 para puxar.,世界中有些物体可以被咬住并拉动。<BR>使用$Action1/$Action2进行咬住或松口。<BR>使用$Movement1 / $Movement2来拉动。
help_wigglePanel_title,Тянущие взаимодействия,Interactions pour Tirer,Zieh-Interaktionen,Interações de Puxar,拉拽交互
hud_CodexAndCancel,$Codex – ПОДРОБНЕЕ | $Cancel – ЗАКРЫТЬ,$Codex – EN SAVOIR PLUS | $Cancel – FERMER,$Codex – WEITERLESEN | $Cancel – SCHLIESSEN,$Codex – LEIA MAIS | $Cancel – FECHAR,$Codex–阅读更多|$Cancel–关闭
hud_DialogueStale,(Повтор),(Répéter),(Wiederholen),(Repetir),（重复）
hud_ImportantData,"Важно — нажми $CodexMain, чтобы открыть Кодекс",Important – appuie sur $CodexMain pour ouvrir le Codex,Wichtig – Drück $CodexMain, um den Kodex zu öffnen.,Importante – pressione $CodexMain para abrir o Codex,重要提示：按$CodexMain打开图鉴
hud_IncomingCommunication,Входящее сообщение…,Communication Entrante...,Eingehende Nachricht...,Comunicação Recebida…,收到通信……
hud_NewData,Новые данные в Кодексе,Nouvelles Données Dans Le Codex,Neue Daten im Kodex,Novos dados no Codex,图鉴中有新数据
hud_OutgoingCommunication,Открываем связь…,Ouverture des Communications...,Kommunikation öffnen...,Abrindo comunicações…,打开通讯……
hud_PleaseHold,"Пожалуйста, подождите…",Merci de Patienter...,Bitte bleib in der Leitung...,Por favor, aguarde...,请稍候……
hud_PressCancelToDismiss,$Cancel – ЗАКРЫТЬ,$Cancel — FERMER,$Cancel – SCHLIESSEN,$Cancel – FECHAR,$Cancel – 关闭
hud_PressCodex,$Codex – ПОДРОБНЕЕ,$Codex — EN SAVOIR PLUS,$Codex – MEHR INFOS,$Codex – LER MAIS,$Codex – 阅读更多
hud_profileHackCompleted,Взлом профиля завершён,- Piraté,Profil-Hacken abgeschlossen,Hackeamento de Perfil Concluído,账户入侵完成
hud_ProfileHacked,- Взломан,Progression du piratage du profil,- Gehackt,- Hackeado,已破解
hud_profileHackProgress,Прогресс взлома профиля,Progression du Piratage du Profil,Profil Hacker-Fortschritt,Progresso do Hackeamento de Perfil,用户入侵进度
hud_PuzzleComplete,Головоломка решена!,Énigme Résolue !,Rätsel fertiggestellt!,Puzzle concluído!,谜题解开！
hud_UseAController,8 из 10 котов<br>используют <I>геймпад</I>,8 chats sur 10 <br>utilisent une <I>Manette de Jeu</I>,8 von 10 Katzen<br>benutzen einen <I>Spiel-Controller</I>,8 em 10 gatos<br>usam um <I>Controle</I>,10只猫中有8只<br>使用<I>游戏手柄</I>
hud_WellDone,Молодец!,Bravo !,Gut gemacht!,Muito bem!,干得漂亮！
info_ActualTime,Реальное время,Heure réelle,Aktuelle Zeit,Hora real,实际时间
info_BothCats,оба кота,les deux chats,beide Katzen,ambas as gatas,两只猫
info_Cat1,Кот 1,Chat 1,Katze 1,Gata 1,猫咪1
info_Cat2,Кот 2,Chat 2,Katze 2,Gata 2,猫咪2
info_CollectablesToFind,Предстоит найти,Objets de Collection à Trouver,Sammelobjekte zum Finden,Colecionáveis a encontrar,可收集的收藏品
info_Collection,Коллекция,Collection,Sammlung,Coleção,收藏
info_Complete,Завершено,Atteint,Fertiggestellt,Concluído,完成
info_CurrentArea,Текущая зона,Région actuelle,Aktueller Bereich,Área atual,当前区域
info_CustomisationPage,Кастомизация,Personnalisation,Individualisierung,Personalização,自定义
info_Destination,Пункт назначения,Destination,Ziel,Destino,目的地
info_Documents,Документы,Documents,Unterlagen,Documentos,文件
info_FeaturedPasswords,Избранный пароль,Mot de passe suggéré,Empfohlenes Passwort,Senha em destaque,特色密码
info_Found,Найдено,Trouvé,Gefunden,Encontrado,已发现
info_GameTime,Игровое время,Temps de jeu,Spielzeit,Hora no jogo,游戏时间
info_HelpPage,Помощь,Aide,Hilfe,Ajuda,帮助
info_Need,Нужно,Besoin,Brauchen/brauche/braucht,Falta,需要
info_SingleCat,Кот,Chat,Katze,Gata,猫咪
info_Stats,Статистика,Statistiques,Statistiken,Estatísticas,统计数据
info_YouAreHere,Вы здесь,Vous êtes ici,Du bist hier,Você está aqui,您在这里
input_leftMouse,Левая кнопка мыши,Bouton gauche de la souris,Linke Maustaste,Botão Esquerdo do Mouse,鼠标左键
input_leftStick,Левый стик,Stick gauche,Linker Stick,Analógico Esquerdo,左摇杆
input_middleMouse,Средняя кнопка мыши,Bouton du milieu de la souris,Mittlere Maustaste,Botão do Meio do Mouse,鼠标中键
input_mouse,Мышь,Souris,Maus,Mouse,鼠标
input_rightMouse,Правая кнопка мыши,Bouton droit de la souris,Rechte Maustaste,Botão Direito do Mouse,右键
input_rightStick,Правый стик,Stick droit,Rechter Stick,Analógico Direito,右摇杆
input_stickClick,(Нажатие),(Clique),(Klick),(Pressione),（点击）
intel_hide,???,???,???,???,???
language_english,Английский,Anglais,Englisch,Inglês,英语
language_french,Французский,Français,Französisch,Francês,法语
language_german,Немецкий,Allemand,Deutsch,Alemão,德语
language_italian,Итальянский,Italien,Italienisch,Italiano,意大利语
language_japanese,Японский,Japonais,Japanisch,Japonês,日语
language_korean,Корейский,Coréen,Koreanisch,Coreano,韩语
language_portuguese,Португальский,Portugais,Portugiesisch,Português,葡萄牙语
language_simplifiedChinese,Китайский (упрощённый),Chinois Simplifié,Vereinfachtes Chinesisch,Chinês simplificado,简体中文
language_spanish,Испанский,Espagnol,Spanisch,Espanhol,西班牙语
language_systemDefault,Язык системы,Défaut du Système,Systemstandard,Padrão do Sistema,系统默认
language_traditionalChinese,Китайский (традиционный),Chinois Traditionnel,Traditionelles Chinesisch,Chinês Tradicional,繁体中文
level_demo,Демо лаборатории разделения,Démo de Laboratoire de Séparation,Trennlabor-Demo,Demonstração do Laboratório de separação,分离实验室演示
lore_Destination,Пункт назначения,Destination,Ziel,Destino,目的地
lore_Help,Найденные подсказки,Astuces trouvées,Tipps, die du gefunden hast,Dicas encontradas,你发现的提示
lore_InfoHere,Найденная здесь информация,Informations trouvées ici,Informationen, die du hier gefunden hast,Informações encontradas aqui,你在此处找到的信息
lore_ItemsNew,Новое,Nouveau,Neu,Novo,新
lore_ItemsUnread,Непрочитанное,Non lu,Ungelesen,Não lido,未读
lore_mystery,???,???,???,???,???
lore_Synopsis,Краткое содержание,Synopsis,Zusammenfassung,Sinopse,概要
lore_tips,Советы,Conseils,Tipps,Dicas,提示
loresort_date,По дате,Ordre des Dates,Datumsreihenfolge,Ordem de data,按日期顺序
loresort_default,По порядку находки,Ordre de Collecte,Sammlungsreihenfolge,Ordem de coleta,按收集顺序
loresort_from,По отправителю,Ordre de l'Expéditeur,Absenderreihenfolge,Ordem de remetente,按发件人排序
loresort_title,По названию,Ordre des Titres,Titelreihenfolge,Ordem de título,按标题顺序
loresort_to,По получателю,Ordre du Destinataire,Empfängerreihenfolge,Ordem de destinatário,按收件人排序
loretag_Corporate,Корпоративная разведка,Intel d'Entreprise,Unternehmens-informationen,Informações corporativas,企业情报
loretag_CorporateDescription,Чем занимается ФЙ?,Que fait FJ ?,Was hat FJ vor?,O que a FJ está aprontando?,福约公司在搞什么？
loretag_Fun,Дополнительно,Supplémentaire,Extra,Extra,额外
loretag_FunDescription,Для дальнейшего чтения,Lectures Complémentaires,Weiterführende Literatur,Leitura adicional,延伸阅读
loretag_Science,Квантовые исследования,Recherche Quantique,Quantenforschung,Pesquisa quântica,量子研究
loretag_ScienceDescription,Как всё это работает?,Comment tout cela fonctionne-t-il ?,Wie funktioniert das alles?,Como funciona tudo isso?,这一切是如何运作的？
loretag_Secret,Загадочные события,Événements Mystérieux,Mysteriöse Ereignisse,Eventos misteriosos,神秘事件
loretag_SecretDescription,Что происходит?,Qu'est-ce qui se passe ?,Was ist hier los?,O que está acontecendo?,到底发生了什么？
mainElevator_chooseDestination,Выберите этаж назначения,Choisissez la destination de votre ascenseur,Wähle dein Aufzugsziel,Escolha o destino do elevador,选择电梯目的地
mainElevator_doorClosedBody,Текущее местоположение,Emplacement actuel,Aktueller Standort,Localização atual,当前位置
mainElevator_doorClosedTitle,Главный лифт,Ascenseur principal,Hauptaufzug,Elevador Principal,主电梯
mainElevator_doorOpenBody,"Пожалуйста, закройте дверь, чтобы воспользоваться лифтом",Veuillez fermer la porte pour utiliser l’ascenseur,Schließe bitte die Tür, um den Aufzug zu benutzen.,Feche a porta para usar o elevador,请关上电梯门
mainElevator_doorOpenTitle,Дверь лифта открыта,La porte de l’ascenseur est ouverte,Die Aufzugstür ist offen,A porta do elevador está aberta,电梯门已打开
mainElevator_inMotionBody,Пункт назначения,Destination de l’ascenseur,Aufzugsziel,Destino do elevador,电梯目的地
mainElevator_inMotionTitle,Лифт в движении...,Ascenseur en mouvement...,Aufzug in Bewegung...,Elevador em movimento...,电梯运行中……
menu_AccessibilitySettings,Настройки доступности,Paramètres d'Accessibilité,Barrierefreiheitseinstellungen,Configurações de acessibilidade,辅助功能设置
menu_AccessibilitySettingsDescription,"Настройки, упрощающие игру",Paramètres qui permettent une utilisation plus facile du jeu,Einstellungen, die die Nutzung des Spiels erleichtern,Configurações que facilitam a jogabilidade,让游戏更易上手的设置
menu_AddBinding,Добавить привязку,Ajouter un Bind,Zuordnung hinzufügen,Adicionar atalho,添加按键绑定
menu_AdvancedAudioSettings,Расширенные настройки звука,Paramètres Audio Avancés,Erweiterte Audioeinstellungen,Configurações avançadas de áudio,高级音频设置
menu_AdvancedAudioSettingsDescription,Более глубокая настройка звука,Ajustements plus approfondis de l'audio,Tiefgreifendere Optimierungen am Audio,Ajustes mais detalhados do áudio,更深入地调整音频
menu_AdvancedControlSettings,Расширенные настройки управления,Paramètres de Contrôle Avancés,Erweiterte Steuerungseinstellungen,Configurações avançadas de controles,高级按键设置
menu_AdvancedControlSettingsDescription,Более глубокая настройка ввода,Ajustements plus approfondis des entrées du jeu,Tiefgreifendere Optimierungen an den Spieleingaben,Ajustes mais detalhados dos comandos do jogo,更深入地调整操作输入
menu_AdvancedVisualSettings,Расширенные настройки графики,Paramètres Visuels Avancés,Erweiterte visuelle Einstellungen,Configurações avançadas de vídeo,高级视觉设置
menu_AdvancedVisualSettingsDescription,Дополнительные графические настройки,Des ajustements graphiques, mais plus encore,Grafische Optimierungen, aber noch mehr,Ajustes gráficos, mas mais detalhados,以图形为主的高级调整
menu_Apply,Применить,Appliquer,Anwenden,Aplicar,应用
menu_applyRebindsBody,Есть непримененные изменения привязок.<BR>Применить сейчас?,Certaines modifications de contrôles n'ont pas été enregistrées. <BR>Veux-tu les enregistrer maintenant ?,Es sind noch nicht angewendete Änderungen an den Zuordnungen vorhanden. <BR>Jetzt anwenden?,Você tem alterações de atalhos não aplicadas.<BR>Aplicar agora?,你有尚未应用的按键更改。<BR>现在应用吗？
menu_applyRebindsTitle,Применить привязки?,Appliquer ces contrôles ?,Zuordnungen anwenden?,Aplicar atalhos?,应用按键设置？
menu_AudioSettings,Настройки звука,Réglages Audio,Audioeinstellungen,Configurações de áudio,音频设置
menu_AudioSettingsDescription,Настройки звука в игре,Paramètres qui affectent le son du jeu,Einstellungen, die den Sound des Spiels beeinflussen,Configurações que afetam o áudio do jogo,影响游戏音频的设置
menu_BeginAdventure,Начать приключение,Commencer l'aventure,Abenteuer beginnen,Iniciar aventura,开始冒险
menu_bindingClashWith,Конфликт привязки с,Conflit de liaison avec,Zuordnungen überschneiden sich mit,Conflito de atribuição com,与以下按键冲突
menu_Cancel,Назад,Retour,Zurück,Voltar,返回
menu_ChapterStops,Точки глав,Sauts de chapitre,Kapitelabschnitte,Marcos de Capítulo,章节点
menu_ChapterStopsDescription,Позволяет перепрыгнуть вперёд по игре,Te permet de sauter en avant dans le jeu,Ermöglicht es dir, direkt ins Spiel einzusteigen.,Permite que você avance no jogo,允许你在游戏中向前跳转
menu_ChooseProfile,Выбрать профиль,Choisir un profil,Profil auswählen,Escolher perfil,选择个人资料
menu_ClearFilter,Сбросить фильтр,Effacer le filtre,Filter löschen,Limpar Filtro,清除筛选
menu_Clear,Очистить,Clair,Klar,Claro,清除
menu_Codex,Кодекс,Le Codex,Kodex,Codex,图鉴
menu_Confirm,Подтвердить,Confirmer,Bestätigen,Confirmar,确认
menu_ContinueGame,Продолжить игру,Continuer la partie,Spiel fortsetzen,Continuar Jogo,继续游戏
menu_ContinueGameDescription,"Загрузить прогресс и продолжить с того места, где остановились",Charger la progression et continuer là où tu t'es arrêté.,Lade deinen Fortschritt und mach dort weiter, wo du aufgehört hast.,Carregue o progresso e continue de onde parou,读取进度并从上次位置继续
menu_ControlSettings,Настройки управления,Paramètres des contrôles,Bedieneinstellungen,Configurações de controle,按键设置
menu_ControlSettingsDescription,Настройки взаимодействия игрока с игрой,Paramètres qui influent sur la façon dont le joueur interagit avec le jeu,Einstellungen, die beeinflussen, wie der Spieler mit dem Spiel interagiert,Configurações que afetam como o jogador interage com o jogo,影响玩家与游戏交互方式的设置
menu_Copy,Копировать,Copie,Kopie,Cópia,复制
menu_CopyTo,Копировать в,Copier vers,Kopieren nach,Copiar para,复制到
menu_cost,Стоимость,Coût,Kosten,Custo,消费
menu_Credits,Титры,Crédits,Abspann,Créditos,制作团队
menu_Custom,Свой,Personnalisé,Benutzerdefiniert,Personalizado,自定义
menu_Customisations,Кастомизация,Personnalisations,Individualisierungen,Personalizações,自定义项
menu_Default,По умолчанию,Par défaut,Standard,Padrão,默认
menu_DeveloperSettings,Настройки разработчика,Paramètres développeur,Entwicklereinstellungen,Configurações do desenvolvedor,开发者设置
menu_DeveloperTriggers,Триггеры разработчика,Déclencheurs du développeur,Entwickler-Trigger,Gatilhos do desenvolvedor,开发者触发器
menu_Discard,Отбросить,Ignorer,Verwerfen,Descartar,丢弃
menu_edited,(Изменено),(Édité),(Bearbeitet),(Editado),（已编辑）
menu_End,Конец,Fin,Ende,Fim,结束
menu_EnterText,Введите текст,Entrer du Texte,Text eingeben,Inserir texto,输入文本
menu_FFText,...,...,...,...,……
menu_FilterBy,Фильтр по,Filtrer par,Filtern nach,Filtrar por,筛选
menu_incompatibleSaveData,Несовместимые сохранения,Données de sauvegarde incompatibles,Inkompatible Speicherdaten,Dados de Salvamento Incompatíveis,不兼容的存档数据
menu_LastSaved,Последнее сохранение,Dernière sauvegarde,Zuletzt gespeichert,Último salvamento,上次保存时间
menu_LevelLoadMenu,Меню загрузки уровня,Menu de chargement de niveau,Level-Lademenü,Menu de Carregamento de Nível,关卡读取菜单
menu_Move,Переместить,Bouger,Bewegen,Mover,移动
menu_NewGame,Новая игра,Nouvelle partie,Neues Spiel,Novo Jogo,新游戏
menu_NewGameDescription,Перезаписать текущий прогресс и начать с начала,Écraser ta progression actuelle et commencer depuis le début,Überschreib deinen aktuellen Fortschritt und fang von vorne an.,Substituir seu progresso atual e começar do início,覆盖当前进度，从头开始
menu_Next,Дальше,Suivant,Weiter,Próximo,下一个
menu_NextUnread,Следующее непрочитанное,Suivant non lu,Nächste ungelesene,Próximo não lido,下一个未读
menu_OK,ОК,OK,OK.,OK,确定
menu_OpenCodex,Открыть Кодекс,Ouvrir le Codex,Kodex öffnen,Abrir Codex,打开图鉴
menu_Pause,Пауза,Pause,Pause,Pausar,暂停
menu_PlayerProfiles,Выбрать профиль,Choisir un profil,Profil auswählen,Escolher Perfil,选择个人资料
menu_PlayerSettings,Настройки игрока,Paramètres du Joueur,Spielereinstellungen,Configurações do jogador,玩家设置
menu_PlayerSettingsDescription,Изменение внешнего вида игрового персонажа,Changements apportés à la façon dont le personnage du joueur est représenté dans le jeu,Änderungen an der Darstellung des Spielercharakters im Spiel,Alterações na forma como o personagem é representado no jogo,调整玩家角色在游戏中的呈现方式
menu_purchase,Купить?,Acheter,Kaufen,Comprar,购买吗
menu_QuitToDesktop,Выйти на рабочий стол,Quitter vers le bureau,Zu Desktop wechseln,Sair para a Área de trabalho,退出到桌面
menu_QuitToMainMenu,Выйти в главное меню,Quitter vers le menu principal,Zum Hauptmenü wechseln,Sair para o Menu principal,退出至主菜单
menu_rebindClashBody,Из-за конфликтующих привязок эти изменения нельзя применить.,Certains des contrôles que tu as choisis sont en conflit, ces changements ne peuvent donc pas être appliqués.,Da es bei diesen Zuordnungen Überschneidungen gibt, können diese Änderungen nicht angewendet werden.,Como você tem atalhos que entram em conflito, essas mudanças não podem ser aplicadas.,由于按键冲突，这些更改无法应用。
menu_rebindClashTitle,Конфликт привязок,Contrôles en conflit,Sich überschneidende Zuordnungen,Atalhos em conflito,冲突按键
menu_ReplaceBindings,Заменить привязки,Remplacer les Contrôles,Zuordnungen ersetzen,Substituir atalhos,替换绑定
menu_ResetBindings,Сбросить привязки,Réinitialiser les Contrôles,Zuordnungen zurücksetzen,Redefinir atalhos,重置绑定
menu_ResetPuzzle,Сбросить головоломку,Réinitialiser l’Énigme,Rätsel zurücksetzen,Reiniciar Puzzle,重置拼图
menu_ResetPuzzleDescription,Вернуть головоломку в исходное состояние.,Remettre cette énigme dans son état initial.,Setze dieses Rätsel wieder in seinen ursprünglichen Zustand zurück.,Volte este puzzle para o estado inicial.,将该谜题恢复到初始状态。
menu_ResumeGame,Продолжить игру,Reprendre le Jeu,Spiel fortsetzen,Retomar o jogo,继续游戏
menu_Select,Выбрать,Sélectionner,Auswählen,Selecionar,选择
menu_Settings,Настройки,Réglages,Einstellungen,Configurações,设置
menu_SpeedRunSettings,Настройки спидрана,Paramètres du speedrun,Einstellungen für Speedruns,Configurações de Speedrun,速通设置
menu_SpeedRunSettingsDescription,"Набор настроек, уменьшающих простой во время игры",Un ensemble de paramètres permettant de réduire les temps d'arrêt pendant le jeu,Eine Reihe von Einstellungen, die Ausfallzeiten während des Spiels reduzieren,Um conjunto de configurações que reduz o tempo de espera durante o jogo,一组可减少游戏过程中等待时间的设置
menu_StartGame,Начать игру,Commencer le jeu,Spiel starten,Iniciar Jogo,开始游戏
menu_Toggle,Переключить,Basculer,Umschalten,Alternar,切换
menu_tooExpensive,Слишком дорого,Trop cher,Zu teuer,Muito caro,太贵了
menu_unboundControlBody,"Из-за того, что важные элементы управления не назначены, изменения нельзя применить.",Comme certains contrôles clés ne sont pas liés, ces modifications ne peuvent pas être appliquées.,Da wichtige Steuerelemente nicht gebunden sind, können diese Änderungen nicht angewendet werden.,Como você tem controles importantes sem atribuição, estas alterações não podem ser aplicadas.,由于部分关键按键尚未绑定，无法应用当前设置。
menu_unboundControlTitle,Не назначенные элементы управления,Contrôles non liés,Ungebundene Steuerelemente,Controles não atribuídos,未设置按键
menu_Unstuck,Выручи меня,Me débloquer,Befreie mich,Resetar posição,帮我脱困
menu_VisualSettings,Настройки графики,Réglages Visuels,Visuelle Einstellungen,Configurações visuais,视觉设置
menu_VisualSettingsDescription,Графические настройки,Ajustements graphiques,Grafische Optimierungen,Ajustes gráficos,图形调整
menu_WishlistGame,В список желаний в Steam,Ajouter à la liste de souhaits sur Steam,Wunschliste auf Steam,Lista de desejos na Steam,加入Steam愿望单
menu_WishlistGameDescription,"Откроем браузер Steam, чтобы добавить $game в список желаний!",Ouvre ton navigateur Steam pour ajouter $game à ta liste de souhaits !,Öffne deinen Steam-Browser, um $game auf die Wunschliste zu setzen!,Abra o navegador Steam para adicionar $game à sua lista de desejos!,打开你的Steam浏览器，将$game添加到愿望单！
message_accessGranted,Доступ разрешён,Accès accordé,Zugang gewährt,Acesso concedido,访问已授权
message_accessGranted,Доступ разрешён,Accès accordé,Zugang gewährt,Acesso concedido,访问已授权
message_accessRestricted,Доступ ограничен,Accès restreint,Zugang beschränkt,Acesso restrito,访问受限
message_aGameBy,Игра от,Un jeu de,Ein Spiel von,Um Jogo De,游戏制作
message_airlockEqualizingMain,Выравнивание давления с<br>,Égalisation de la pression de l’air avec<br>,Luftdruckausgleich mit<br>,Equalização da pressão do ar com<br>,正在平衡气压，目标：<br>
message_airlockEqualizingTitle,Выравнивание давления,Égalisation de l’air,Luftausgleich,Equalização do ar,气压平衡中
message_airlockMain,"Выровняйте давление, чтобы открыть доступ к<br>",Égalisez la pression de l’air pour ouvrir l’accès à<br>,Luftdruck ausgleichen, um den Zugang zu öffnen<br>,Equalize a pressão do ar para abrir o acesso a<br>,需要平衡气压才能前往<br>
message_airlockTitle,Шлюз,Sas,Luftschleuse,Antecâmara,气闸
message_approvalRequired,Требуется одобрение,Approbation requise,Genehmigung erforderlich,Aprovação necessária,需要授权
message_clearanceGranted,Допуск разрешён,Habilitation accordée,Freigabe erteilt,Autorização concedida,已授予通行权限
message_clearProfileTitle,Очистить профиль?,Effacer le profil ?,Profil löschen?,Limpar perfil?,清除个人资料？
message_confirmNewGame_body,Текущий прогресс будет перезаписан.,Tu vas remplacer ta progression actuelle.,Dein aktueller Fortschritt wird überschrieben.,Isso irá substituir o seu progresso atual.,您将覆盖当前进度。
message_confirmNewGame_title,Начать новую игру?,Commencer une Nouvelle Partie ?,Neues Spiel starten?,Iniciar um Novo Jogo?,开始新游戏？
message_congratulations,Поздравляем!,Félicitations !,Glückwunsch!,Parabéns!,恭喜！
message_continueIntoTests,Продолжайте к тестовым сценариям.<br>   ---->,Continuez vers les scénarios de test.<br> ---->,Weiter zu den Testszenarien.<br> ---->,Continue para os cenários de teste.<br> ---->,继续进行测试场景。<br>---->
message_demoEnd,ВНИМАНИЕ<BR>Поездка на лифте в Сектор C завершит это демо.<BR>Если хотите осмотреть остальную часть уровня — сделайте это сейчас!,ATTENTION<BR>Prendre l'ascenseur vers le secteur C mettra fin à cette démo.<BR>Si tu souhaites explorer le reste du niveau, fais-le maintenant !,ACHTUNG<BR>Die Fahrt mit dem Aufzug zu Sektor C beendet diese Demo.<BR>Wenn du den Rest des Levels erkunden möchtest, mach es jetzt!,ATENÇÃO<BR>Usar o elevador para o Setor C encerrará esta demo.<BR>Se quiser explorar o restante do nível, faça isso agora!,注意：<BR>乘坐电梯前往C区将结束本次演示。<BR>如果还想探索这一关的其他区域，请现在就去！
message_demoEnd,ВНИМАНИЕ<BR>Поездка на лифте в Сектор C завершит это демо.<BR>Если хотите осмотреть остальную часть уровня — сделайте это сейчас!,ATTENTION<BR>Prendre l'ascenseur vers le secteur C mettra fin à cette démo.<BR>Si tu souhaites explorer le reste du niveau, fais-le maintenant !,ACHTUNG<BR>Die Fahrt mit dem Aufzug zu Sektor C beendet diese Demo.<BR>Wenn du den Rest des Levels erkunden möchtest, mach es jetzt!,ATENÇÃO<BR>Usar o elevador para o Setor C encerrará esta demo.<BR>Se quiser explorar o restante do nível, faça isso agora!,注意：<BR>乘坐电梯前往C区将结束本次演示。<BR>如果还想探索这一关的其他区域，请现在就去！
message_demoEndTeaser,"Это лишь намёк на полную версию игры.<BR>Ждите больше кошачьих выходок,<BR>больше скрытных проникновений и<BR>гораздо больше науки, вышедшей из-под контроля!",Ce n'est qu'un avant-goût du jeu complet.<BR>Prépare-toi à encore plus de pitreries félines,<BR>à toujours plus de furtivité et<BR>à encore plus de science délirante !,Dies ist nur ein Vorgeschmack auf das vollständige Spiel.<BR> Freu dich auf noch mehr Katzenstreiche<BR>noch mehr Herumschleichen und <BR>noch viel mehr außer Kontrolle geratene Wissenschaft!,Esta é apenas uma amostra do jogo completo.<BR>Espere mais travessuras felinas,<BR>mais infiltração sorrateira e<BR>muito mais ciência fora de controle!,这只是完整版的冰山一角。<BR>敬请期待更多猫咪的奇趣冒险，<BR>更多潜行挑战，<BR>以及更多疯狂的科学！
message_demoEndTeaser,"Это лишь намёк на полную версию игры.<BR>Ждите больше кошачьих выходок,<BR>больше скрытных проникновений и<BR>гораздо больше науки, вышедшей из-под контроля!",Ce n'est qu'un avant-goût du jeu complet.<BR>Prépare-toi à encore plus de pitreries félines,<BR>à toujours plus de furtivité et<BR>à encore plus de science délirante !,Dies ist nur ein Vorgeschmack auf das vollständige Spiel.<BR> Freu dich auf noch mehr Katzenstreiche<BR>noch mehr Herumschleichen und <BR>noch viel mehr außer Kontrolle geratene Wissenschaft!,Esta é apenas uma amostra do jogo completo.<BR>Espere mais travessuras felinas,<BR>mais infiltração sorrateira e<BR>muito mais ciência fora de controle!,这只是完整版的冰山一角。<BR>敬请期待更多猫咪的奇趣冒险，<BR>更多潜行挑战，<BR>以及更多疯狂的科学！
